date,quantity,price,ticker,cusip
2021-10-12,27701,14.59,BBBY,075896100
2021-10-14,256380,14.44,BBBY,075896100
2021-10-19,4750,14.72,BBBY,075896100
2021-10-26,47,14.46,BBBY,075896100
2021-11-04,75384,19.30,BBBY,075896100
2021-11-05,117933,20.17,BBBY,075896100
2021-11-08,89474,22.57,BBBY,075896100
2021-11-09,127413,21.67,BBBY,075896100
2021-11-10,29788,21.59,BBBY,075896100
2021-11-12,37594,23.08,BBBY,075896100
2021-11-15,504592,22.54,BBBY,075896100
2021-11-17,880,22.56,BBBY,075896100
2021-11-19,30999,22.90,BBBY,075896100
2021-11-22,846222,23.25,BBBY,075896100
2021-11-23,51754,24.01,BBBY,075896100
2021-11-24,110242,22.27,BBBY,075896100
2021-11-26,9,22.29,BBBY,075896100
2021-11-29,45907,20.90,BBBY,075896100
2021-11-30,1209,20.19,BBBY,075896100
2021-12-01,3903,18.33,BBBY,075896100
2021-12-02,220305,17.11,BBBY,075896100
2021-12-03,744698,18.15,BBBY,075896100
2021-12-06,545891,17.86,BBBY,075896100
2021-12-07,19377,18.58,BBBY,075896100
2021-12-08,36225,19.14,BBBY,075896100
2021-12-09,79930,19.22,BBBY,075896100
2021-12-10,64452,19.13,BBBY,075896100
2021-12-13,578,17.71,BBBY,075896100
2021-12-15,6822,16.40,BBBY,075896100
2021-12-16,95246,16.30,BBBY,075896100
2021-12-17,13520,15.53,BBBY,075896100
2021-12-20,526,15.98,BBBY,075896100
2021-12-21,2802,15.12,BBBY,075896100
2021-12-22,134627,15.77,BBBY,075896100
2021-12-23,664637,15.63,BBBY,075896100
2021-12-27,389,15.98,BBBY,075896100
2021-12-28,2514,16.04,BBBY,075896100
2021-12-29,416,15.11,BBBY,075896100
2022-01-05,18373,14.99,BBBY,075896100
2022-01-06,1090,13.37,BBBY,075896100
2022-01-10,182092,13.80,BBBY,075896100
2022-01-11,52180,13.01,BBBY,075896100
2022-01-12,4136,13.12,BBBY,075896100
2022-01-13,318,13.82,BBBY,075896100
2022-01-18,829197,15.46,BBBY,075896100
2022-01-19,17436,14.06,BBBY,075896100
2022-01-20,3014,13.70,BBBY,075896100
2022-01-21,812,13.43,BBBY,075896100
2022-01-24,21280,12.96,BBBY,075896100
2022-01-25,68151,14.04,BBBY,075896100
2022-01-27,156816,14.15,BBBY,075896100
2022-01-31,70825,15.53,BBBY,075896100
2022-02-01,27100,16.24,BBBY,075896100
2022-02-02,117622,17.08,BBBY,075896100
2022-02-03,27588,17.04,BBBY,075896100
2022-02-04,130953,15.88,BBBY,075896100
2022-02-07,1001,16.19,BBBY,075896100
2022-02-08,249619,16.27,BBBY,075896100
2022-02-09,286422,16.65,BBBY,075896100
2022-02-10,8009,17.01,BBBY,075896100
2022-02-11,6887,16.10,BBBY,075896100
2022-02-14,3609,15.69,BBBY,075896100
2022-02-15,947,15.53,BBBY,075896100
2022-02-16,27307,16.66,BBBY,075896100
2022-02-17,9225,16.11,BBBY,075896100
2022-02-18,6071,15.07,BBBY,075896100
2022-02-22,4019,15.01,BBBY,075896100
2022-02-23,146311,13.69,BBBY,075896100
2022-02-24,191525,13.16,BBBY,075896100
2022-02-25,22082,15.37,BBBY,075896100
2022-02-28,38811,16.17,BBBY,075896100
2022-03-01,347530,16.89,BBBY,075896100
2022-03-02,1168,16.67,BBBY,075896100
2022-03-03,422686,17.23,BBBY,075896100
2022-03-04,26504,16.75,BBBY,075896100
2022-03-07,10435,16.18,BBBY,075896100
2022-03-08,52523,21.71,BBBY,075896100
2022-03-09,163366,22.86,BBBY,075896100
2022-03-10,379994,22.53,BBBY,075896100
2022-03-11,16148,20.96,BBBY,075896100
2022-03-14,8596,19.99,BBBY,075896100
2022-03-15,6079,19.21,BBBY,075896100
2022-03-16,6193,20.38,BBBY,075896100
2022-03-17,62454,21.32,BBBY,075896100
2022-03-18,4117,21.87,BBBY,075896100
2022-03-21,81,22.07,BBBY,075896100
2022-03-22,172972,23.00,BBBY,075896100
2022-03-23,64807,23.52,BBBY,075896100
2022-03-24,5639,22.02,BBBY,075896100
2022-03-25,2598,22.10,BBBY,075896100
2022-03-29,791,26.32,BBBY,075896100
2022-03-30,65650,27.23,BBBY,075896100
2022-03-31,91802,22.75,BBBY,075896100
2022-04-01,96511,22.53,BBBY,075896100
2022-04-04,61605,22.84,BBBY,075896100
2022-04-05,1681,22.82,BBBY,075896100
2022-04-06,31659,21.81,BBBY,075896100
2022-04-08,4004,19.87,BBBY,075896100
2022-04-11,51271,19.48,BBBY,075896100
2022-04-12,14440,19.27,BBBY,075896100
2022-04-14,41393,17.76,BBBY,075896100
2022-04-18,43703,17.33,BBBY,075896100
2022-04-20,8661,16.87,BBBY,075896100
2022-04-21,380,16.38,BBBY,075896100
2022-04-22,18,16.34,BBBY,075896100
2022-04-28,1384,14.67,BBBY,075896100
2022-04-29,20625,14.75,BBBY,075896100
