date,quantity
2013-03-27,461044
2013-03-28,341054
2013-04-01,345153
2013-04-02,110794
2013-04-03,329102
2013-04-04,544834
2013-04-05,389181
2013-04-08,148734
2013-04-09,185542
2013-04-10,235514
2013-04-11,68109
2013-04-12,162156
2013-04-15,251708
2013-04-16,307730
2013-04-17,251991
2013-04-18,211113
2013-04-19,238551
2013-04-22,61626
2013-04-23,433439
2013-04-24,222069
2013-04-25,207105
2013-04-26,261055
2013-04-29,183326
2013-04-30,196043
2013-05-01,294723
2013-05-02,391896
2013-05-03,165104
2013-05-06,338408
2013-05-07,62614
2013-05-08,7514
2013-05-09,148641
2013-05-10,22873
2013-05-13,146895
2013-05-14,125278
2013-05-15,229811
2013-05-16,200218
2013-05-17,81382
2013-05-20,75041
2013-05-21,63821
2013-05-22,60088
2013-05-23,2122
2013-05-24,9005
2013-05-28,13315
2013-05-29,40668
2013-05-30,101035
2013-05-31,109505
2013-06-03,512
2013-06-04,24698
2013-06-05,13919
2013-06-06,504
2013-06-07,7750
2013-06-11,348
2013-06-12,4287
2013-06-13,10134
2013-06-14,17
2013-06-17,22186
2013-06-19,2215
2013-06-20,1624
2013-06-21,1479
2013-06-24,2882
2013-06-25,451
2013-06-26,14412
2013-06-27,1008
2013-06-28,7190
2013-07-01,9201
2013-07-02,68646
2013-07-03,6305
2013-07-05,8863
2013-07-08,16424
2013-07-09,650
2013-07-10,400
2013-07-11,2783
2013-07-12,2164
2013-07-15,370
2013-07-16,200
2013-07-17,7382
2013-07-18,96300
2013-07-19,605
2013-07-22,152688
2013-07-23,5600
2013-07-24,13847
2013-07-25,50
2013-07-26,4248
2013-07-29,580
2013-07-30,12608
2013-07-31,1649
2013-08-01,133657
2013-08-02,45926
2013-08-05,4213
2013-08-06,7718
2013-08-07,1064
2013-08-08,50632
2013-08-09,7355
2013-08-12,944
2013-08-13,212501
2013-08-14,146575
2013-08-15,104498
2013-08-16,76026
2013-08-20,20
2013-08-21,59356
2013-08-22,17139
2013-08-23,605
2013-08-26,156983
2013-08-27,24815
2013-08-28,116180
2013-08-29,51174
2013-08-30,1460
2013-09-03,74235
2013-09-04,11160
2013-09-05,48498
2013-09-06,100970
2013-09-09,3308
2013-09-10,4496
2013-09-11,200
2013-09-13,2286
2013-09-16,13977
2013-09-17,200
2013-09-18,14169
2013-09-19,2465
2013-09-20,1161
2013-09-23,2018
2013-09-24,32099
2013-09-25,89791
2013-09-26,22840
2013-09-27,52323
2013-09-30,16601
2013-10-01,4318
2013-10-02,3620
2013-10-03,1150
2013-10-04,1327
2013-10-07,600
2013-10-08,2831
2013-10-09,1822
2013-10-10,504
2013-10-11,313
2013-10-15,215
2013-10-16,877
2013-10-17,32583
2013-10-18,39423
2013-10-21,892
2013-10-22,1374
2013-10-23,315
2013-10-24,54269
2013-10-25,69261
2013-10-28,38587
2013-10-29,38248
2013-10-30,63817
2013-10-31,8810
2013-11-01,22445
2013-11-04,183
2013-11-05,28193
2013-11-06,36109
2013-11-07,118995
2013-11-08,67195
2013-11-12,471950
2013-11-13,14648
2013-11-14,82521
2013-11-15,24964
2013-11-18,9715
2013-11-19,34142
2013-11-20,14105
2013-11-21,93037
2013-11-22,16925
2013-11-25,6568
2013-11-26,83544
2013-11-27,9800
2013-11-29,21729
2013-12-02,34457
2013-12-03,12419
2013-12-04,9872
2013-12-05,22810
2013-12-06,47818
2013-12-09,16608
2013-12-10,327591
2013-12-11,9240
2013-12-12,8665
2013-12-13,38218
2013-12-16,150907
2013-12-17,102420
2013-12-18,57649
2013-12-19,8465
2013-12-20,170637
2013-12-23,14763
2013-12-24,26253
2013-12-26,3498
2013-12-27,10718
2013-12-30,161
2013-12-31,12505
2014-01-02,73185
2014-01-03,2054
2014-01-06,373
2014-01-07,622
2014-01-08,149
2014-01-09,15122
2014-01-10,10860
2014-01-13,22679
2014-01-14,1550
2014-01-15,9234
2014-01-16,100730
2014-01-17,48239
2014-01-21,288733
2014-01-22,17469
2014-01-23,24633
2014-01-24,16678
2014-01-27,5447
2014-01-28,22815
2014-01-29,75
2014-01-30,1533
2014-01-31,15340
2014-02-03,1767
2014-02-04,3588
2014-02-05,36903
2014-02-06,4123
2014-02-07,567
2014-02-10,44034
2014-02-11,834
2014-02-12,6736
2014-02-13,36360
2014-02-14,2303
2014-02-18,9418
2014-02-19,4505
2014-02-20,2849
2014-02-21,370
2014-02-24,11467
2014-02-25,610
2014-02-26,1474
2014-02-27,13658
2014-02-28,42253
2014-03-03,11345
2014-03-04,29652
2014-03-05,30980
2014-03-06,281
2014-03-07,8460
2014-03-10,130701
2014-03-11,636
2014-03-12,211379
2014-03-13,1145
2014-03-14,10180
2014-03-17,12398
2014-03-18,60
2014-03-19,511
2014-03-20,5754
2014-03-21,81012
2014-03-25,85969
2014-03-26,148
2014-03-27,4901
2014-03-28,156
2014-03-31,103775
2014-04-01,20731
2014-04-02,583
2014-04-03,126846
2014-04-04,152
2014-04-08,12632
2014-04-09,69229
2014-04-10,496
2014-04-11,16975
2014-04-14,12667
2014-04-15,9296
2014-04-16,36633
2014-04-17,9578
2014-04-21,85873
2014-04-22,8110
2014-04-23,3531
2014-04-24,12673
2014-04-25,20706
2014-04-28,458
2014-04-29,111
2014-04-30,147132
2014-05-01,100
2014-05-02,325
2014-05-05,188
2014-05-06,5783
2014-05-07,18773
2014-05-08,128
2014-05-09,30
2014-05-12,15033
2014-05-14,335
2014-05-15,1931
2014-05-16,36174
2014-05-19,1597
2014-05-20,2707
2014-05-21,5511
2014-05-22,333
2014-05-23,440
2014-05-27,5338
2014-05-28,7528
2014-05-29,5316
2014-05-30,19857
2014-06-02,95296
2014-06-03,1819
2014-06-04,12877
2014-06-05,6876
2014-06-06,2382
2014-06-10,4248
2014-06-11,29
2014-06-12,319
2014-06-13,1522
2014-06-16,16686
2014-06-17,54
2014-06-18,3129
2014-06-19,20459
2014-06-20,27597
2014-06-23,14817
2014-06-24,172
2014-06-25,106422
2014-06-26,5709
2014-06-27,14171
2014-06-30,521
2014-07-01,432
2014-07-02,1762
2014-07-03,837
2014-07-07,1233
2014-07-08,10
2014-07-09,65
2014-07-10,38819
2014-07-11,1718
2014-07-14,34110
2014-07-15,311
2014-07-16,120
2014-07-17,339
2014-07-21,1344
2014-07-22,587
2014-07-23,646
2014-07-24,302
2014-07-25,1020
2014-07-28,613
2014-07-29,13207
2014-07-31,428
2014-08-01,474
2014-08-04,21207
2014-08-05,52176
2014-08-06,5282
2014-08-07,3427
2014-08-08,21330
2014-08-11,3094
2014-08-12,1895
2014-08-13,27849
2014-08-14,7549
2014-08-15,481
2014-08-18,156
2014-08-19,2083
2014-08-20,24422
2014-08-21,893
2014-08-22,12446
2014-08-25,195
2014-08-27,1226
2014-08-28,8904
2014-08-29,8056
2014-09-02,7951
2014-09-03,5386
2014-09-04,10983
2014-09-05,21137
2014-09-08,48661
2014-09-09,348
2014-09-10,2878
2014-09-11,12899
2014-09-12,1497
