date,quantity,price,ticker,cusip
2022-05-05,17221,39.10,OSTK,690370101
2022-05-06,50791,36.43,OSTK,690370101
2022-05-09,29509,34.95,OSTK,690370101
2022-05-10,19800,33.54,OSTK,690370101
2022-05-11,95950,32.00,OSTK,690370101
2022-05-12,100,29.33,OSTK,690370101
2022-05-17,90348,28.26,OSTK,690370101
2022-05-18,815,30.92,OSTK,690370101
2022-05-25,35280,25.77,OSTK,690370101
2022-05-26,2602,29.48,OSTK,690370101
2022-05-27,253,31.58,OSTK,690370101
2022-05-31,1484,32.31,OSTK,690370101
2022-06-02,1,30.74,OSTK,690370101
2022-06-03,8082,32.62,OSTK,690370101
2022-06-06,145,30.85,OSTK,690370101
2022-06-07,1028,31.46,OSTK,690370101
2022-06-08,2695,31.46,OSTK,690370101
2022-06-09,152,32.01,OSTK,690370101
2022-06-10,483,30.99,OSTK,690370101
2022-06-13,1,30.81,OSTK,690370101
2022-06-15,795,29.70,OSTK,690370101
2022-06-16,15850,30.59,OSTK,690370101
2022-06-17,2471,28.01,OSTK,690370101
2022-06-22,2,29.74,OSTK,690370101
2022-06-23,766,29.68,OSTK,690370101
2022-06-24,801,31.61,OSTK,690370101
2022-06-27,1790,33.46,OSTK,690370101
2022-06-28,1904,30.12,OSTK,690370101
2022-07-05,118201,26.17,OSTK,690370101
2022-07-06,7745,28.06,OSTK,690370101
2022-07-07,15244,26.46,OSTK,690370101
2022-07-08,1781,28.53,OSTK,690370101
2022-07-14,514,25.61,OSTK,690370101
2022-07-15,6783,25.23,OSTK,690370101
2022-07-19,50,26.41,OSTK,690370101
2022-07-20,83413,27.90,OSTK,690370101
2022-07-22,1443,29.33,OSTK,690370101
2022-07-25,2,28.04,OSTK,690370101
2022-07-26,13936,28.00,OSTK,690370101
2022-07-27,126,26.70,OSTK,690370101
2022-07-28,3,28.28,OSTK,690370101
2022-07-29,15198,30.32,OSTK,690370101
2022-08-01,32097,29.00,OSTK,690370101
2022-08-02,33800,29.78,OSTK,690370101
2022-08-04,251,29.61,OSTK,690370101
2022-08-05,4027,28.39,OSTK,690370101
2022-08-08,6542,28.94,OSTK,690370101
2022-08-10,28033,28.82,OSTK,690370101
2022-08-11,10123,30.17,OSTK,690370101
2022-08-15,3554,31.71,OSTK,690370101
2022-08-16,3398,30.54,OSTK,690370101
2022-08-24,275,27.07,OSTK,690370101
2022-08-31,291,26.40,OSTK,690370101
2022-09-01,391,26.10,OSTK,690370101
2022-09-02,740,25.83,OSTK,690370101
2022-09-06,316,26.00,OSTK,690370101
2022-09-08,1419,26.51,OSTK,690370101
2022-09-09,2654,27.60,OSTK,690370101
2022-09-13,439,31.00,OSTK,690370101
2022-09-14,6115,28.95,OSTK,690370101
2022-09-15,12118,28.63,OSTK,690370101
2022-09-20,249,26.73,OSTK,690370101
2022-09-23,45281,23.86,OSTK,690370101
2022-09-27,1560,23.34,OSTK,690370101
2022-09-28,4728,23.47,OSTK,690370101
2022-10-04,639,25.50,OSTK,690370101
2022-10-06,11864,26.16,OSTK,690370101
