date,quantity,price
2023-08-17,3312,0.3
2023-08-21,48378,0.29
2023-08-22,8573,0.29
2023-08-23,16422,0.28
2023-08-25,64001,0.28
2023-08-28,7669,0.27
2023-08-29,10257,0.28
2023-09-05,13818,0.27
2023-09-07,6688,0.26
2023-09-11,5563,0.24
2023-09-13,11456,0.26
2023-09-14,26254,0.26
2023-09-15,19826,0.26
2023-09-18,211531,0.25
2023-09-19,63473,0.25
2023-09-20,83537,0.27
2023-09-21,17754,0.27
2023-09-22,12411,0.26
2023-10-03,349,0.24
2023-10-04,19091,0.24
2023-10-05,14515,0.23
2023-10-10,2382,0.22
2023-10-11,84730,0.23
2023-10-12,10562,0.22
2023-10-16,54459,0.22
2023-10-17,23723,0.21
2023-10-20,19509,0.18
2023-10-23,8415,0.18
2023-10-24,6193,0.17
2023-10-25,85589,0.17
2023-10-26,60900,0.17
2023-10-27,25503,0.17
2023-10-30,184,0.16
2023-11-01,7632,0.16
2023-11-02,728,0.16
2023-11-06,1095,0.19
2023-11-07,36459,0.19
2023-11-08,326,0.19
2023-11-14,11115,0.2
2023-11-15,4981,0.2
2023-11-16,130,0.22
2023-11-17,46360,0.23
2023-11-20,25801,0.25
2023-11-21,12918,0.24
2023-11-22,7694,0.23
2023-11-24,26,0.23
2023-12-01,153117,0.16
2023-12-04,131527,0.16
2023-12-05,97095,0.17
2023-12-06,107427,0.17
2023-12-07,590,0.16
2023-12-12,31013,1.28
2023-12-13,39029,1.3
2023-12-14,48080,1.34
2023-12-15,11401,1.51
2023-12-18,6225,1.48
2023-12-19,12207,1.39
2023-12-20,8572,1.56
2023-12-21,45600,1.42
2023-12-22,5,1.48
2023-12-26,8096,1.48
2023-12-27,79,1.53
2023-12-28,21303,1.52
2023-12-29,31,1.52
2024-01-02,4950,1.44
2024-01-03,6903,1.49
2024-01-04,14724,1.45
2024-01-05,2997,1.42
2024-01-08,3238,1.44
2024-01-11,2267,1.38
2024-01-12,1357,1.32
2024-01-16,12026,1.31
2024-01-17,7095,1.25
2024-01-18,2189,1.16
2024-01-19,1658,1.04
2024-01-22,732,1.08
2024-01-23,2,1.18
2024-01-24,22906,1.25
2024-01-25,14497,1.17
2024-01-26,1232,1.17
2024-01-29,2049,1.22
2024-01-30,1067,1.26
2024-01-31,230,1.23
2024-02-01,11,1.19
2024-02-02,4,1.21
2024-02-05,2293,1.2
2024-02-06,662,1.14
2024-02-07,3280,1.19
2024-02-08,925,1.15
2024-02-09,6184,1.24
2024-02-12,7865,1.25
2024-02-13,854,1.28
2024-02-14,11,1.29
2024-02-15,1071,1.38
2024-02-16,11,1.44
2024-02-20,10039,1.46
2024-02-21,2699,1.42
2024-02-22,1725,1.43
2024-02-23,11,1.39
2024-02-26,737,1.35
2024-02-27,45,1.27
2024-02-28,8417,1.36
2024-02-29,10638,1.35
2024-03-01,12698,1.41
2024-03-04,10334,1.49
2024-03-05,760,1.42
2024-03-06,625,1.36
2024-03-07,257,1.3
2024-03-08,637,1.36
2024-03-11,3778,1.36
2024-03-13,282,1.47
2024-03-15,51,1.43
2024-03-18,78,1.4
2024-03-19,11,1.45
2024-03-21,730,1.44
2024-03-22,1991,1.41
2024-03-25,35,1.34
2024-03-26,5512,1.4
2024-03-27,1456,1.41
2024-03-28,401,1.42
2024-04-01,1831,1.42
2024-04-02,699,1.42
2024-04-03,699,1.42
2024-04-04,1081,1.51
2024-04-08,1102,1.69
2024-04-09,2096,1.84
2024-04-10,3857,1.78
2024-04-11,2219,1.7
2024-04-12,6369,1.75
2024-04-15,4517,1.5
2024-04-16,57756,1.49
2024-04-17,81531,1.47
2024-04-18,82156,1.48
2024-04-19,94279,1.55
2024-04-22,93534,1.52
2024-04-23,93738,1.52
2024-04-24,91017,1.53
2024-04-25,95219,1.52
2024-04-26,104293,1.5
2024-04-29,100264,1.47
2024-04-30,100420,1.54
2024-05-01,92570,1.42
2024-05-02,100658,1.43
2024-05-03,94002,1.44
2024-05-06,91107,1.46
2024-05-07,92815,1.46
2024-05-08,91802,1.47
2024-05-09,94841,1.43
2024-05-10,5176,1.43
2024-05-13,312,1.4
2024-05-14,835,1.42
2024-05-15,3233,1.58
2024-05-16,1191,1.54
2024-05-17,427,1.82
2024-05-20,27390,2.01
2024-05-22,2010,1.89
2024-05-24,315,1.74
2024-05-28,306,1.79
2024-05-29,420,1.77
2024-05-31,2564,1.8
2024-06-05,2641,1.82
2024-06-07,2896,1.85
2024-06-11,1237,1.84
2024-06-14,116,1.86
2024-06-18,1120,1.7
2024-06-25,645,1.63
2024-07-01,775,1.49
2024-07-02,201,1.53
2024-07-03,11644,1.58
2024-07-05,18129,1.69
2024-07-08,269,1.69
2024-07-10,2077,1.69
2024-07-23,10497,1.73
2024-07-29,592,1.65
2024-08-12,97463,1.32
2024-08-13,4991,1.33
2024-08-14,42,1.32
2024-08-15,15,1.35
2024-08-16,8125,1.36
2024-08-22,714,1.44
2024-08-27,11883,1.4
2024-08-28,11883,1.37
2024-09-04,33,1.23
2024-09-05,6304,1.2
2024-09-06,6295,1.2
2024-09-24,323,1.16
