date,quantity
2012-07-06,14829
2012-07-09,101
2012-07-10,100
2012-07-11,1672
2012-07-12,237
2012-07-13,2583
2012-07-16,3515
2012-07-18,3
2012-07-19,3447
2012-07-20,116
2012-07-23,176
2012-07-24,898
2012-07-25,456
2012-07-26,2
2012-07-27,67003
2012-07-30,100
2012-07-31,107
2012-08-01,1282
2012-08-02,507
2012-08-03,85
2012-08-06,1152
2012-08-07,2
2012-08-08,4619
2012-08-09,414
2012-08-10,2611
2012-08-13,144234
2012-08-14,2676
2012-08-15,185
2012-08-16,885
2012-08-20,47
2012-08-21,647
2012-08-22,2
2012-08-23,1062
2012-08-27,139
2012-08-28,5080
2012-08-29,1779
2012-08-30,11
2012-08-31,513
2012-09-05,7141
2012-09-06,311
2012-09-07,345
2012-09-10,4
2012-09-11,35
2012-09-12,667
2012-09-17,508
2012-09-18,3
2012-09-19,296
2012-09-20,3
2012-09-21,241
2012-09-24,94188
2012-09-25,944
2012-09-28,25
2012-10-01,2098
2012-10-02,1135
2012-10-03,388
2012-10-04,534
2012-10-05,7
2012-10-10,50
2012-10-11,3858
2012-10-16,7361
2012-10-17,44
2012-10-18,7
2012-10-22,7
2012-10-24,125210
2012-10-25,68707
2012-10-29,384
2012-10-30,27073
2012-10-31,4291
2012-11-01,15
2012-11-02,108
2012-11-05,500
2012-11-06,22
2012-11-08,689
2012-11-09,50
2012-11-13,122
2012-11-14,1
2012-11-15,7188
2012-11-19,10
2012-11-21,159
2012-11-23,425
2012-11-26,31346
2012-11-27,1
2012-11-28,1056
2012-11-29,959
2012-11-30,390
2012-12-05,1082
2012-12-06,6022
2012-12-07,3148
2012-12-10,447
2012-12-11,15
2012-12-12,9342
2012-12-13,4856
2012-12-14,564
2012-12-18,1094
2012-12-19,1
2012-12-20,1131
2012-12-21,78
2012-12-27,3876
2012-12-28,126
2013-01-02,195
2013-01-03,40
2013-01-04,1889
2013-01-07,1914
2013-01-08,9312
2013-01-09,833
2013-01-10,37
2013-01-14,373
2013-01-15,203
2013-01-16,4
2013-01-17,115
2013-01-18,46
2013-01-22,5142
2013-01-24,346
2013-01-25,105
2013-01-29,100
2013-01-30,262
2013-01-31,284
2013-02-01,853
2013-02-04,21997
2013-02-05,48204
2013-02-06,105
2013-02-07,4249
2013-02-08,7699
2013-02-11,2582
2013-02-12,148750
