date,quantity,price
2022-01-14,1530,3.26
2022-01-18,10954,3.15
2022-01-25,6278,3.08
2022-01-27,80,2.95
2022-02-01,1728,3.02
2022-02-03,1549,3.15
2022-02-04,19684,3.2
2022-02-07,5185,3.43
2022-02-08,86,3.93
2022-02-09,13353,4.22
2022-02-14,8463,4.18
2022-02-15,19258,4.07
2022-02-16,17020,4.52
2022-02-18,7243,4.22
2022-02-22,1284,4.36
2022-02-23,541,4.32
2022-02-28,143,4.54
2022-03-01,524,4.76
2022-03-02,239,4.53
2022-03-04,9152,4.73
2022-03-07,12982,4.46
2022-03-09,200,4.11
2022-03-10,112311,4.03
2022-03-11,37396,4.07
2022-03-18,32979,3.44
2022-03-21,574,3.53
2022-03-22,334,3.39
2022-03-23,5381,3.72
2022-03-24,72327,3.63
2022-03-25,3192,3.61
2022-03-30,18362,3.85
2022-04-04,613,3.37
2022-04-05,3989,3.32
2022-04-08,5440,3.16
2022-04-11,12198,3.15
2022-04-14,1915,3.36
2022-04-18,5232,3.31
2022-04-19,620,3.32
2022-04-21,91,3.54
2022-04-22,153,3.35
2022-04-26,39969,3.25
2022-04-27,10211,3.21
2022-04-28,2527,3.38
2022-04-29,8083,3.43
2022-05-02,1000,3.44
2022-05-03,7288,3.49
2022-05-05,35352,4.01
2022-05-06,16015,4.02
2022-05-09,1317,3.86
2022-05-11,13638,3.41
2022-05-16,64790,3.57
2022-05-26,20915,2.54
2022-05-27,27359,2.55
2022-05-31,1276,3.0
2022-06-01,18086,2.97
2022-06-07,1487,2.7
2022-06-08,14774,2.71
2022-06-09,4380,2.68
2022-06-16,70,2.28
2022-06-21,22017,2.0
2022-06-23,9232,2.24
2022-06-27,48481,2.23
2022-06-28,148187,2.18
2022-06-29,19376,2.1
2022-06-30,2593,1.99
2022-07-01,35112,1.96
2022-07-06,22353,1.99
2022-07-07,4348,1.87
2022-07-08,3004,1.95
2022-07-12,33369,1.78
2022-07-13,37504,1.78
2022-07-15,35322,1.65
2022-07-18,13726,1.75
2022-07-19,31079,1.85
2022-07-20,30170,1.89
2022-07-21,8523,1.92
2022-07-22,3192,1.93
2022-07-25,20728,1.87
2022-07-26,7065,1.83
2022-07-27,254,1.67
2022-07-28,23774,1.74
2022-08-01,10512,1.69
2022-08-02,41252,1.72
2022-08-04,43,1.78
2022-08-05,98012,1.79
2022-08-08,1142,1.86
2022-08-09,29627,2.2
2022-08-10,28500,1.92
2022-08-15,24092,2.18
2022-08-16,47398,2.3
2022-08-17,64320,2.57
2022-08-18,65934,2.3
2022-08-23,51287,2.13
2022-08-25,5669,2.02
2022-08-29,20091,1.95
2022-08-30,21694,1.96
2022-08-31,3032,1.92
2022-09-01,34635,1.52
2022-09-13,2571,1.39
2022-09-14,18391,1.29
2022-09-16,1400,1.27
2022-09-19,3188,1.25
2022-09-20,649,1.26
2022-09-23,555,1.13
2022-09-26,87,1.1
2022-09-29,1310,1.19
2022-10-04,973,1.11
2022-10-05,3440,1.18
2022-10-07,6302,1.19
2022-10-12,45229,1.16
2022-10-14,9419,1.19
2022-10-17,843,1.19
2022-10-18,6101,1.23
2022-10-20,4100,1.2
2022-10-21,10761,1.2
2022-10-24,4268,1.25
2022-10-25,9408,1.25
2022-10-26,9440,1.31
2022-10-27,2303,1.28
2022-10-28,11598,1.28
2022-10-31,3291,1.31
2022-11-01,1880,1.22
2022-11-02,5349,1.13
2022-11-04,32,1.12
2022-11-07,4712,1.15
2022-11-08,931,1.17
2022-11-09,4003,1.15
2022-11-10,784,1.1
2022-11-15,31,1.27
2022-11-17,8008,1.23
2022-11-22,3748,1.21
2022-11-28,156176,1.4
2022-11-29,17070,1.3
2022-11-30,11287,1.41
2022-12-02,7336,1.41
2022-12-05,2566,1.42
2022-12-06,1432,1.35
2022-12-07,3038,1.3
2022-12-08,22015,1.28
2022-12-09,4894,1.77
2022-12-12,179108,1.24
2022-12-14,11600,1.06
2022-12-15,32544,1.04
2022-12-16,1000,1.09
2022-12-19,3136,1.07
2022-12-21,11571,0.96
2022-12-22,104519,0.92
2022-12-23,46454,0.89
2022-12-27,442,0.92
2022-12-28,10224,0.86
2022-12-29,2667,0.84
2022-12-30,24923,0.94
2023-01-03,21038,1.02
2023-01-04,30441,0.92
2023-01-05,5084,0.96
2023-01-06,52965,0.94
2023-01-09,51107,0.93
2023-01-11,10903,1.04
2023-01-12,3700,1.08
2023-01-13,134,1.12
2023-01-17,56170,1.09
2023-01-18,21949,1.1
2023-01-19,13022,1.02
2023-01-20,10267,0.98
2023-01-23,35716,1.01
2023-01-24,2172,1.08
2023-01-25,418,1.02
2023-01-26,3685,1.03
2023-01-27,15577,1.1
2023-01-31,448,1.15
2023-02-01,14337,1.16
2023-02-03,12496,1.23
2023-02-07,11874,1.37
2023-02-08,4093,1.33
2023-02-17,7919,1.13
2023-02-21,26874,1.14
2023-02-22,72741,1.07
2023-02-23,11593,1.09
2023-02-24,2173,1.05
2023-02-27,18988,1.03
2023-02-28,87,1.03
2023-03-01,18676,1.02
2023-03-02,14268,1.0
2023-03-03,18174,0.98
2023-03-06,5657,1.03
2023-03-07,13185,0.99
2023-03-08,5421,0.96
2023-03-13,7,0.88
2023-03-14,12326,0.88
2023-03-16,32355,0.88
2023-03-17,18077,0.9
2023-03-20,37119,0.86
2023-03-21,88209,0.82
2023-03-22,11164,0.85
2023-03-23,24241,0.84
2023-03-24,15510,0.85
2023-03-27,210558,0.75
2023-03-28,394145,0.73
2023-03-29,43296,0.73
2023-03-30,241734,0.79
2023-03-31,16703,0.8
2023-04-03,64559,0.79
2023-04-05,4598,0.73
2023-04-06,5522,0.69
2023-04-10,135985,0.69
2023-04-12,397,0.7
2023-04-14,27906,0.67
2023-04-17,10560,0.84
2023-04-18,8858,0.87
2023-04-20,41562,0.97
2023-04-21,7061,0.91
2023-04-25,19527,0.84
2023-04-26,16374,0.83
2023-04-27,14778,0.84
2023-04-28,2041,0.83
2023-05-01,6200,0.81
2023-05-02,10745,0.8
2023-05-03,45918,0.78
2023-05-04,6494,0.84
2023-05-08,13968,0.85
2023-05-09,26996,0.88
2023-05-10,10928,0.85
2023-05-11,2552,0.83
2023-05-12,9746,0.83
2023-05-15,10014,0.81
2023-05-16,16556,0.81
2023-05-17,15675,0.76
2023-05-18,23937,0.8
2023-05-19,21110,0.82
2023-05-22,18792,0.79
2023-05-24,6764,0.81
2023-05-25,26567,0.67
2023-05-26,125138,0.65
2023-05-30,8178,0.62
2023-05-31,700,0.6
2023-06-01,38702,0.57
2023-06-02,62930,0.59
2023-06-05,6864,0.62
2023-06-06,17109,0.6
2023-06-07,104735,0.63
2023-06-08,132182,0.66
2023-06-09,105784,0.61
2023-06-12,213515,0.6
2023-06-13,44324,0.61
2023-06-14,29566,0.66
2023-06-15,26986,0.6
2023-06-16,484758,0.64
2023-06-20,356155,0.63
2023-06-21,263324,0.63
2023-06-22,164120,0.63
2023-06-23,65278,0.61
2023-06-26,158407,0.59
2023-06-27,2041653,0.57
2023-06-28,81159,0.61
2023-06-29,15291,0.6
2023-06-30,18472,0.61
2023-07-03,9944,0.59
2023-07-05,11153,0.61
2023-07-06,8396,0.62
2023-07-10,10759,0.62
2023-07-11,716,0.65
2023-07-13,60381,0.7
2023-07-14,1182,0.74
2023-07-17,19285,0.69
2023-07-18,3403,0.71
2023-07-19,2337,0.72
2023-07-21,1041,0.71
2023-07-25,3400,0.76
2023-07-26,24468,0.73
2023-07-27,18762,0.78
2023-07-28,5126,0.75
2023-07-31,1157,0.77
2023-08-03,22827,0.79
2023-08-04,46097,0.84
2023-08-09,108711,0.81
2023-08-10,45638,0.76
2023-08-11,10703,0.78
2023-08-14,9672,0.8
2023-08-15,4235,0.76
2023-08-16,6059,0.76
2023-08-17,2078,0.71
2023-08-18,9708,0.73
2023-08-22,179136,0.55
2023-08-23,7235,0.54
2023-08-24,29486,0.55
2023-08-25,17156,0.51
2023-08-28,19,0.52
2023-08-29,10588,0.52
2023-09-01,8191,10.09
2023-09-05,2944,9.71
2023-09-06,10971,8.2
2023-09-07,2632,8.87
2023-09-08,10904,8.46
2023-09-11,102,8.97
2023-09-12,2111,9.08
2023-09-13,1522,8.84
2023-09-14,2430,8.73
2023-09-15,2052,8.99
2023-09-18,264,9.74
2023-09-19,935,9.34
2023-09-20,3048,9.13
2023-09-21,2265,9.02
2023-09-22,2107,9.16
2023-09-25,1589,8.76
2023-09-29,265,8.13
2023-10-03,2371,8.79
2023-10-04,311,8.6
2023-10-05,4049,8.8
2023-10-06,4205,8.41
2023-10-10,792,8.1
2023-10-11,2,8.25
2023-10-12,877,8.04
2023-10-13,47,8.03
2023-10-16,6728,8.4
2023-10-17,4956,8.48
2023-10-18,3588,8.47
2023-10-19,17,8.99
2023-10-20,3037,9.15
2023-10-24,129,8.7
2023-10-26,2293,9.06
2023-10-27,3636,9.01
2023-10-31,266,8.96
2023-11-02,762,8.74
2023-11-03,3229,8.88
2023-11-06,186,8.99
2023-11-07,21,9.24
2023-11-08,478,9.0
2023-11-09,3,9.34
2023-11-10,3456,8.94
2023-11-13,2991,9.5
2023-11-14,466,9.02
2023-11-15,131,9.06
2023-11-16,3973,9.52
2023-11-17,292,9.49
2023-11-20,247,10.24
2023-11-22,66,10.0
2023-11-24,13,9.11
2023-11-27,208,9.44
2023-11-28,6319,9.11
2023-11-30,361,9.78
2023-12-01,200,8.59
2023-12-05,43,8.37
2023-12-06,188,8.4
2023-12-08,339,8.24
2023-12-11,285,8.47
2023-12-12,1827,8.25
2023-12-13,551,8.38
2023-12-15,212,8.44
2023-12-21,2178,8.3
2023-12-22,687,8.36
2023-12-26,63,8.39
2023-12-28,360,8.24
2023-12-29,15806,8.36
2024-01-03,1654,8.91
2024-01-04,1319,8.88
2024-01-05,1251,8.95
2024-01-08,212,8.41
2024-01-09,115,8.57
2024-01-10,356,8.55
